,deflator inflation - forecast,deflator inflation - actual,nominal interest
2021-10-01,2.5708,6.484000460800909,0.19666666666666666
2022-01-01,2.8054,5.352396504699186,0.9633333333333334
2022-04-01,3.0388,3.5607502038597527,2.1999999999999997
2022-07-01,3.0528,3.262175399685785,3.3966666666666665
2022-10-01,2.9612,2.697147232116115,4.613333333333333
2023-01-01,2.6903,2.5443572323725405,4.766666666666667
2023-04-01,2.5349,2.6632217847768924,4.943333333333333
2023-07-01,2.5077,2.263371137543313,5.3933333333333335
2023-10-01,2.2604,2.4674851100036532,5.22
2024-01-01,2.1058,2.5752970878157866,4.8999999999999995
2024-04-01,2.1944,2.461511420741891,5.136666666666667
2024-07-01,2.1439,2.970659368635453,4.453333333333333
2024-10-01,2.2161,3.300909450375644,4.253333333333334
2025-01-01,2.5431,3.291345618724395,4.1433333333333335
